iter	Passed	Remaining
400	24458	36534
401	24519	36473
402	24573	36402
403	24635	36342
404	24688	36270
405	24745	36204
406	24799	36132
407	24870	36087
408	24933	36028
409	24992	35964
410	25057	35909
411	25115	35844
412	25169	35774
413	25230	35712
414	25289	35648
415	25346	35582
416	25398	35508
417	25460	35449
418	25520	35388
419	25579	35324
420	25638	35260
421	25700	35201
422	25761	35141
423	25826	35085
424	25886	35022
425	25938	34949
426	25993	34881
427	26060	34828
428	26122	34768
429	26182	34707
430	26262	34671
431	26317	34603
432	26378	34541
433	26437	34478
434	26502	34422
435	26565	34364
436	26630	34309
437	26686	34240
438	26748	34181
439	26808	34119
440	26868	34057
441	26930	33998
442	26999	33947
443	27074	33903
444	27130	33837
445	27188	33772
446	27247	33709
447	27306	33645
448	27372	33591
449	27423	33517
450	27485	33457
451	27550	33401
452	27617	33347
453	27675	33283
454	27737	33224
455	27800	33165
456	27852	33093
457	27903	33020
458	27966	32962
459	28029	32904
460	28094	32847
461	28152	32783
462	28203	32711
463	28260	32645
464	28318	32581
465	28376	32516
466	28434	32453
467	28490	32387
468	28548	32322
469	28606	32258
470	28658	32187
471	28715	32122
472	28774	32059
473	28824	31986
474	28882	31922
475	28959	31879
476	29024	31822
477	29083	31760
478	29139	31694
479	29199	31632
480	29258	31569
481	29315	31504
482	29365	31432
483	29427	31372
484	29481	31304
485	29533	31235
486	29594	31174
487	29654	31112
488	29716	31053
489	29775	30990
490	29835	30929
491	29897	30869
492	29966	30817
493	30037	30767
494	30098	30706
495	30159	30646
496	30221	30585
497	30290	30533
498	30347	30469
499	30409	30409
500	30467	30346
501	30520	30276
502	30576	30211
503	30636	30150
504	30692	30084
505	30754	30025
506	30806	29955
507	30867	29895
508	30928	29834
509	30985	29770
510	31049	29712
511	31110	29652
512	31169	29589
513	31229	29528
514	31284	29461
515	31345	29401
516	31397	29332
517	31457	29271
518	31516	29208
519	31574	29145
520	31640	29090
521	31696	29025
522	31763	28969
523	31844	28927
524	31910	28871
525	31961	28801
526	32023	28742
527	32082	28680
528	32134	28611
529	32196	28551
530	32252	28486
531	32316	28429
532	32386	28376
533	32448	28316
534	32506	28253
535	32559	28186
536	32616	28121
537	32669	28054
538	32727	27991
539	32794	27936
540	32849	27870
541	32912	27811
542	32980	27757
543	33040	27695
544	33093	27628
545	33157	27570
546	33218	27510
547	33275	27446
548	33344	27392
549	33399	27326
550	33454	27261
551	33515	27201
552	33571	27136
553	33634	27077
554	33685	27009
555	33748	26950
556	33794	26877
557	33851	26814
558	33903	26747
559	33960	26683
560	34023	26624
561	34096	26573
562	34148	26505
563	34202	26440
564	34265	26381
565	34335	26327
566	34398	26269
567	34454	26205
568	34512	26142
569	34576	26083
570	34629	26017
571	34686	25953
572	34741	25889
573	34804	25830
574	34856	25763
575	34912	25699
576	34973	25639
577	35034	25578
578	35090	25514
579	35151	25454
580	35207	25390
581	35262	25325
582	35318	25262
583	35372	25196
584	35432	25135
585	35488	25072
586	35549	25011
587	35602	24945
588	35674	24893
589	35725	24826
590	35784	24764
591	35847	24705
592	35900	24639
593	35959	24578
594	36008	24509
595	36062	24444
596	36115	24379
597	36172	24316
598	36225	24250
599	36277	24185
600	36327	24117
601	36388	24057
602	36445	23994
603	36502	23932
604	36562	23871
605	36618	23807
606	36672	23743
607	36724	23677
608	36784	23617
609	36836	23551
610	36896	23490
611	36942	23420
612	37017	23370
613	37075	23308
614	37128	23242
615	37178	23176
616	37230	23110
617	37293	23052
618	37350	22989
619	37402	22924
620	37460	22862
621	37516	22799
622	37573	22737
623	37630	22674
624	37688	22613
625	37744	22550
626	37799	22486
627	37862	22427
628	37917	22364
629	37977	22304
630	38036	22243
631	38098	22184
632	38154	22121
633	38205	22055
634	38257	21990
635	38315	21928
636	38383	21873
637	38439	21810
638	38497	21748
639	38555	21687
640	38619	21629
641	38671	21564
642	38727	21501
643	38779	21437
644	38838	21376
645	38897	21315
646	38956	21254
647	39012	21191
648	39064	21127
649	39128	21068
650	39184	21006
651	39247	20948
652	39295	20881
653	39357	20822
654	39413	20759
655	39475	20700
656	39532	20638
657	39589	20576
658	39647	20515
659	39723	20463
660	39786	20405
661	39843	20343
662	39902	20282
663	39952	20217
664	40016	20158
665	40072	20096
666	40132	20036
667	40193	19976
668	40254	19916
669	40312	19855
670	40370	19794
671	40425	19731
672	40482	19670
673	40538	19607
674	40595	19545
675	40645	19481
676	40698	19417
677	40764	19359
678	40826	19301
679	40886	19240
680	40946	19180
681	41006	19120
682	41063	19058
683	41124	18999
684	41187	18940
685	41244	18878
686	41304	18818
687	41362	18757
688	41417	18694
689	41475	18633
690	41520	18567
691	41573	18503
692	41631	18442
693	41693	18383
694	41743	18319
695	41800	18257
696	41857	18196
697	41915	18135
698	41972	18073
699	42033	18014
700	42090	17952
701	42151	17893
702	42204	17830
703	42264	17770
704	42319	17708
705	42373	17645
706	42439	17587
707	42500	17528
708	42559	17468
709	42616	17406
710	42671	17344
711	42723	17281
712	42787	17222
713	42838	17159
714	42896	17098
715	42948	17035
716	43004	16974
717	43057	16911
718	43115	16850
719	43167	16787
720	43232	16729
721	43288	16667
722	43342	16605
723	43406	16547
724	43464	16486
725	43527	16427
726	43588	16368
727	43644	16306
728	43695	16243
729	43766	16187
730	43829	16128
731	43891	16069
732	43951	16009
733	44013	15950
734	44074	15890
735	44133	15830
736	44193	15770
737	44252	15710
738	44309	15649
739	44365	15587
740	44417	15525
741	44481	15466
742	44549	15409
743	44603	15347
744	44666	15288
745	44719	15226
746	44780	15166
747	44838	15106
748	44892	15044
749	44952	14984
750	45012	14924
751	45071	14863
752	45142	14807
753	45196	14745
754	45253	14684
755	45307	14622
756	45360	14560
757	45416	14499
758	45474	14439
759	45538	14380
760	45592	14318
761	45656	14260
762	45715	14199
763	45770	14138
764	45835	14080
765	45891	14019
766	45950	13958
767	46005	13897
768	46063	13837
769	46118	13775
770	46180	13716
771	46242	13657
772	46300	13596
773	46356	13535
774	46413	13474
775	46491	13420
776	46549	13359
777	46600	13297
778	46660	13237
779	46719	13177
780	46779	13117
781	46831	13055
782	46887	12994
783	46942	12933
784	46996	12871
785	47050	12810
786	47109	12750
787	47157	12686
788	47218	12627
789	47280	12568
790	47339	12508
791	47377	12442
792	47435	12382
793	47497	12322
794	47556	12262
795	47611	12202
796	47666	12140
797	47727	12081
798	47792	12023
799	47849	11962
800	47906	11901
801	47961	11840
802	48026	11782
803	48086	11722
804	48145	11662
805	48199	11601
806	48261	11541
807	48314	11480
808	48375	11421
809	48438	11362
810	48494	11301
811	48557	11242
812	48607	11180
813	48671	11121
814	48734	11062
815	48799	11003
816	48863	10945
817	48917	10883
818	48975	10823
819	49033	10763
820	49092	10703
821	49168	10647
822	49228	10587
823	49285	10526
824	49344	10466
825	49400	10406
826	49460	10346
827	49518	10286
828	49583	10227
829	49644	10168
830	49712	10109
831	49767	10049
832	49814	9986
833	49874	9927
834	49938	9868
835	49992	9807
836	50050	9747
837	50110	9687
838	50167	9626
839	50220	9565
840	50275	9505
841	50338	9445
842	50400	9386
843	50455	9325
844	50535	9269
845	50600	9210
846	50655	9150
847	50713	9090
848	50768	9029
849	50829	8969
850	50882	8908
851	50945	8849
852	51005	8790
853	51067	8730
854	51130	8671
855	51183	8610
856	51243	8550
857	51297	8489
858	51359	8430
859	51410	8369
860	51473	8309
861	51533	8250
862	51594	8190
863	51653	8130
864	51715	8071
865	51777	8011
866	51849	7953
867	51906	7893
868	51964	7833
869	52019	7772
870	52076	7712
871	52137	7653
872	52197	7593
873	52258	7533
874	52316	7473
875	52366	7412
876	52426	7352
877	52484	7292
878	52547	7233
879	52605	7173
880	52666	7113
881	52721	7053
882	52780	6993
883	52838	6933
884	52895	6873
885	52957	6813
886	53017	6754
887	53072	6693
888	53130	6633
889	53204	6575
890	53259	6515
891	53311	6454
892	53365	6394
893	53431	6335
894	53484	6274
895	53545	6215
896	53604	6155
897	53660	6095
898	53728	6036
899	53782	5975
900	53837	5915
901	53901	5856
902	53959	5796
903	54017	5736
904	54064	5675
905	54125	5615
906	54181	5555
907	54238	5495
908	54288	5434
909	54345	5374
910	54403	5314
911	54459	5254
912	54523	5195
913	54588	5136
914	54651	5076
915	54711	5017
916	54765	4957
917	54821	4896
918	54882	4837
919	54938	4777
920	55002	4717
921	55058	4657
922	55106	4597
923	55167	4537
924	55219	4477
925	55282	4417
926	55344	4358
927	55402	4298
928	55466	4239
929	55525	4179
930	55585	4119
931	55651	4060
932	55716	4001
933	55785	3942
934	55842	3882
935	55913	3823
936	55972	3763
937	56023	3703
938	56083	3643
939	56139	3583
940	56192	3523
941	56256	3463
942	56319	3404
943	56375	3344
944	56429	3284
945	56485	3224
946	56539	3164
947	56599	3104
948	56663	3045
949	56717	2985
950	56780	2925
951	56830	2865
952	56892	2805
953	56950	2746
954	57014	2686
955	57086	2627
956	57150	2567
957	57228	2508
958	57291	2449
959	57345	2389
960	57408	2329
961	57465	2269
962	57529	2210
963	57589	2150
964	57646	2090
965	57711	2031
966	57768	1971
967	57827	1911
968	57885	1851
969	57943	1792
970	58006	1732
971	58064	1672
972	58121	1612
973	58183	1553
974	58237	1493
975	58301	1433
976	58361	1373
977	58418	1314
978	58473	1254
979	58535	1194
980	58608	1135
981	58674	1075
982	58729	1015
983	58780	955
984	58840	896
985	58899	836
986	58960	776
987	59021	716
988	59076	657
989	59134	597
990	59186	537
991	59242	477
992	59300	418
993	59364	358
994	59422	298
995	59484	238
996	59544	179
997	59606	119
998	59667	59
999	59731	0
