iter	RMSE
257	4953.127834
258	4943.904074
259	4939.058394
260	4934.438972
261	4929.40037
262	4928.73477
263	4927.139036
264	4921.038721
265	4913.960764
266	4912.334109
267	4908.542656
268	4906.133953
269	4905.01837
270	4899.381212
271	4894.764164
272	4890.179206
273	4887.543371
274	4884.474653
275	4882.138387
276	4878.295891
277	4876.563286
278	4874.514629
279	4870.331227
280	4864.391454
281	4861.169807
282	4859.005215
283	4858.054334
284	4854.204498
285	4851.401183
286	4847.823087
287	4844.055764
288	4840.996971
289	4840.602332
290	4836.533002
291	4833.598085
292	4830.871994
293	4827.156126
294	4825.564891
295	4820.04099
296	4815.285645
297	4811.759494
298	4809.406165
299	4802.426571
300	4797.108536
301	4794.963574
302	4790.550476
303	4788.45598
304	4776.998581
305	4775.064977
306	4773.33382
307	4772.015983
308	4770.173121
309	4763.011885
310	4755.019878
311	4747.71904
312	4745.23585
313	4741.744314
314	4740.053779
315	4734.586885
316	4732.39634
317	4728.214187
318	4726.847783
319	4723.718838
320	4720.770719
321	4720.21451
322	4718.19605
323	4713.225059
324	4710.275046
325	4707.776808
326	4705.298587
327	4701.434509
328	4699.549985
329	4698.233083
330	4694.008177
331	4691.492276
332	4687.747407
333	4686.892707
334	4684.346096
335	4681.925306
336	4681.256585
337	4677.888978
338	4675.637537
339	4673.226504
340	4668.529006
341	4664.836548
342	4662.618967
343	4661.768703
344	4656.587596
345	4654.566168
346	4647.600768
347	4644.946579
348	4634.943214
349	4631.4854
350	4629.314911
351	4627.646122
352	4624.110115
353	4621.54986
354	4619.593816
355	4618.306261
356	4613.243233
357	4611.889132
358	4603.898113
359	4600.386429
360	4599.396408
361	4595.652974
362	4593.886771
363	4590.218507
364	4585.879446
365	4585.122137
366	4583.045253
367	4580.245557
368	4576.22034
369	4572.365048
370	4567.366637
371	4565.204327
372	4563.744465
373	4560.631147
374	4559.703979
375	4554.551095
376	4551.682892
377	4550.774873
378	4548.170443
379	4545.535941
380	4544.339849
381	4540.369238
382	4539.348544
383	4535.638263
384	4533.692558
385	4530.504166
386	4529.946472
387	4529.487939
388	4526.170366
389	4525.071057
390	4523.616261
391	4520.732343
392	4517.018148
393	4513.522145
394	4513.18153
395	4511.477004
396	4508.071788
397	4506.079952
398	4503.211561
399	4501.875282
400	4499.32059
401	4493.448468
402	4489.93967
403	4487.892134
404	4486.167392
405	4484.709545
406	4484.0371
407	4483.27651
408	4480.297987
409	4479.12766
410	4476.256619
411	4474.149988
412	4473.606871
413	4471.937648
414	4467.114212
415	4465.07933
416	4462.603312
417	4457.139786
418	4455.07554
419	4452.59059
420	4450.077402
421	4447.998415
422	4445.378076
423	4443.619586
424	4442.18901
425	4441.841288
426	4440.991407
427	4438.20319
428	4436.955621
429	4436.174919
430	4435.198276
431	4432.415853
432	4429.766658
433	4425.027424
434	4421.85148
435	4420.406067
436	4415.104435
437	4414.577125
438	4413.302246
439	4411.642186
440	4410.311855
441	4405.045599
442	4400.772522
443	4399.850874
444	4398.115026
445	4395.970751
446	4394.958088
447	4392.877947
448	4390.862233
449	4389.43722
450	4385.966168
451	4384.783051
452	4383.813233
453	4383.011115
454	4380.511543
455	4378.584879
456	4377.426586
457	4376.440256
458	4374.753489
459	4372.520604
460	4368.273096
461	4365.777362
462	4365.506077
463	4363.70473
464	4359.665265
465	4358.988765
466	4358.123415
467	4355.069318
468	4351.73244
469	4349.890893
470	4348.676885
471	4347.697651
472	4347.16268
473	4346.38733
474	4344.035307
475	4340.347675
476	4338.842123
477	4338.096409
478	4336.65785
479	4334.376486
480	4332.158813
481	4330.829465
482	4329.428757
483	4327.897718
484	4324.531592
485	4324.184396
486	4322.76663
487	4321.89907
488	4320.294509
489	4319.319353
490	4317.290921
491	4315.034248
492	4314.302539
493	4311.164742
494	4310.382231
495	4307.373092
496	4304.49462
497	4303.97421
498	4302.205787
499	4297.10625
500	4294.116659
501	4292.236089
502	4291.452831
503	4290.419599
504	4289.612358
505	4287.133222
506	4285.973736
507	4284.393993
508	4282.128455
509	4280.310356
510	4276.719228
511	4274.477936
512	4272.831748
513	4272.023245
514	4271.286319
515	4268.875325
516	4267.573987
517	4266.945653
518	4266.497006
519	4264.911686
520	4263.024744
521	4259.939388
522	4259.580846
523	4255.888643
524	4255.234906
525	4254.508494
526	4253.956166
527	4252.400501
528	4250.361624
529	4246.829723
530	4245.44107
531	4241.711386
532	4241.242459
533	4237.763944
534	4235.740541
535	4233.998217
536	4232.706145
537	4232.037879
538	4229.593349
539	4226.720032
540	4225.8338
541	4225.17656
542	4223.857254
543	4220.635004
544	4219.685446
545	4216.621525
546	4214.129995
547	4212.274574
548	4209.877014
549	4207.32074
550	4206.009654
551	4205.572715
552	4204.063526
553	4201.388269
554	4200.47597
555	4197.501706
556	4197.04762
557	4193.910906
558	4193.205559
559	4192.270104
560	4190.234403
561	4188.301952
562	4187.932074
563	4187.429818
564	4185.253259
565	4184.22982
566	4182.543528
567	4181.9652
568	4181.301762
569	4178.496744
570	4177.634682
571	4176.624803
572	4176.138102
573	4174.488884
574	4173.604624
575	4172.964273
576	4171.709146
577	4169.546683
578	4167.650424
579	4163.726121
580	4162.639725
581	4161.448329
582	4159.830655
583	4158.633458
584	4157.372672
585	4156.284834
586	4154.319606
587	4154.054893
588	4153.196652
589	4152.659069
590	4151.520271
591	4150.998689
592	4150.201598
593	4147.541071
594	4146.827643
595	4146.587349
596	4146.07159
597	4145.635112
598	4144.729671
599	4143.114286
600	4142.540877
601	4140.01051
602	4138.430724
603	4137.807837
604	4136.895601
605	4135.630908
606	4134.474987
607	4133.669162
608	4133.130091
609	4132.929625
610	4131.952746
611	4131.781469
612	4130.474428
613	4129.904508
614	4129.519189
615	4128.137325
616	4126.983873
617	4125.615304
618	4124.768599
619	4124.373534
620	4122.863227
621	4122.487735
622	4121.11671
623	4120.29633
624	4117.938756
625	4117.708353
626	4117.20305
627	4116.695305
628	4115.791358
629	4115.304186
630	4114.738484
631	4113.281562
632	4112.241671
633	4112.015475
634	4111.497902
635	4111.058169
636	4109.299076
637	4107.294685
638	4106.195539
639	4104.3747
640	4102.502875
641	4101.813061
642	4101.50822
643	4100.111135
644	4098.263209
645	4097.747296
646	4095.912147
647	4095.708389
648	4094.762328
649	4092.315577
650	4090.049907
651	4088.519712
652	4087.893939
653	4086.321723
654	4085.721415
655	4084.503534
656	4083.110596
657	4082.050822
658	4081.287921
659	4080.890119
660	4080.509505
661	4080.156095
662	4077.526911
663	4077.148816
664	4074.486636
665	4073.545582
666	4072.019259
667	4070.562623
668	4067.925322
669	4067.452529
670	4065.379685
671	4065.024553
672	4063.902568
673	4063.171294
674	4062.485724
675	4062.145533
676	4061.878208
677	4060.286404
678	4059.004996
679	4057.860241
680	4057.533994
681	4056.782371
682	4056.24757
683	4055.589834
684	4054.415984
685	4053.797833
686	4053.105921
687	4052.746744
688	4051.948964
689	4050.640834
690	4050.438869
691	4049.267286
692	4048.331221
693	4047.368298
694	4046.758821
695	4046.078327
696	4045.272228
697	4044.822286
698	4044.33547
699	4043.814293
700	4043.300617
701	4042.839753
702	4042.347102
703	4040.880693
704	4040.597891
705	4039.851487
706	4039.51618
707	4038.562525
708	4037.928465
709	4036.986878
710	4036.696188
711	4036.016
712	4035.002717
713	4034.550724
714	4033.06202
715	4032.778763
716	4032.111612
717	4031.783413
718	4031.437718
719	4031.224637
720	4029.483143
721	4029.10818
722	4028.103452
723	4026.706192
724	4022.982667
725	4022.538802
726	4021.237966
727	4020.903352
728	4020.30715
729	4018.88456
730	4018.192842
731	4016.5731
732	4016.298144
733	4015.929777
734	4015.039638
735	4013.914683
736	4013.0482
737	4010.980735
738	4009.920493
739	4009.742849
740	4008.45918
741	4006.935676
742	4006.410479
743	4005.284612
744	4004.576228
745	4003.968904
746	4002.584909
747	4001.70836
748	4001.412617
749	4001.043426
750	3999.599007
751	3997.509934
752	3996.707851
753	3996.357291
754	3995.141405
755	3994.896793
756	3993.949069
757	3993.05316
758	3991.986004
759	3991.304141
760	3990.454182
761	3988.984681
762	3987.275861
763	3986.499341
764	3985.937115
765	3985.628063
766	3984.541349
767	3982.273554
768	3981.575051
769	3981.239998
770	3980.316349
771	3978.96026
772	3977.419913
773	3976.490538
774	3974.424768
775	3973.45292
776	3972.625172
777	3972.331717
778	3970.716478
779	3969.542395
780	3969.19889
781	3968.437976
782	3968.194296
783	3967.060168
784	3966.635633
785	3966.396165
786	3964.816567
787	3964.380973
788	3963.529696
789	3961.533269
790	3961.148793
791	3961.087658
792	3960.439012
793	3959.117247
794	3958.385537
795	3958.201743
796	3957.690627
797	3957.327282
798	3956.981472
799	3956.814833
800	3955.741827
801	3955.529088
802	3955.060218
803	3953.925115
804	3952.065235
805	3951.172623
806	3950.397898
807	3950.031571
808	3948.983201
809	3947.89675
810	3946.834788
811	3946.039382
812	3945.789899
813	3945.072231
814	3944.077063
815	3942.859995
816	3941.584172
817	3941.303994
818	3940.812584
819	3940.280494
820	3939.720353
821	3939.411868
822	3939.043301
823	3938.331125
824	3937.43186
825	3936.804735
826	3935.007464
827	3934.317545
828	3933.014875
829	3932.020026
830	3931.324857
831	3930.690246
832	3930.602823
833	3929.907328
834	3929.292034
835	3928.821625
836	3928.003713
837	3926.672629
838	3926.418197
839	3926.039126
840	3925.263478
841	3924.535951
842	3923.816448
843	3923.509417
844	3922.971048
845	3921.658875
846	3921.268676
847	3920.960003
848	3920.769393
849	3920.185215
850	3919.680596
851	3918.400737
852	3918.14342
853	3916.595313
854	3916.220022
855	3915.872567
856	3915.50205
857	3915.110071
858	3914.064681
859	3913.933003
860	3913.239495
861	3912.922212
862	3911.961797
863	3911.620246
864	3911.201175
865	3910.414172
866	3909.58799
867	3909.264004
868	3908.84686
869	3908.629885
870	3908.178119
871	3907.87516
872	3906.302763
873	3905.927672
874	3904.612184
875	3904.425876
876	3903.063493
877	3901.721508
878	3900.70381
879	3900.143502
880	3899.773388
881	3899.65914
882	3899.198367
883	3898.601717
884	3898.223929
885	3897.422679
886	3896.434933
887	3895.646265
888	3895.071747
889	3894.520881
890	3893.820016
891	3893.612807
892	3893.362958
893	3891.768763
894	3891.626547
895	3891.36668
896	3891.063633
897	3890.412738
898	3888.939892
899	3888.660945
900	3887.966268
901	3887.081032
902	3886.744147
903	3886.49088
904	3886.320129
905	3885.575761
906	3885.170313
907	3884.61714
908	3884.394484
909	3884.122506
910	3883.980377
911	3883.162001
912	3882.773012
913	3882.576488
914	3882.211184
915	3881.557151
916	3881.316001
917	3880.59174
918	3879.138943
919	3878.436784
920	3878.099464
921	3877.165488
922	3876.995217
923	3876.546916
924	3876.276938
925	3875.445625
926	3875.242903
927	3874.848674
928	3874.385567
929	3873.446861
930	3872.276414
931	3872.000922
932	3871.715244
933	3870.927959
934	3869.83366
935	3869.070428
936	3868.620738
937	3868.486056
938	3868.058703
939	3867.612023
940	3867.311259
941	3866.645334
942	3866.178368
943	3865.879598
944	3865.730988
945	3865.573497
946	3865.314302
947	3864.234003
948	3863.509096
949	3863.207417
950	3862.42416
951	3862.313789
952	3862.072688
953	3861.715341
954	3860.942977
955	3859.702937
956	3858.318568
957	3857.838293
958	3857.159255
959	3856.147616
960	3855.817409
961	3854.140934
962	3853.444409
963	3852.775809
964	3852.019458
965	3851.674054
966	3851.353169
967	3851.121204
968	3850.87255
969	3850.315101
970	3849.550608
971	3849.241443
972	3849.046201
973	3847.811996
974	3847.694316
975	3846.857295
976	3846.67428
977	3846.519227
978	3846.011261
979	3845.649949
980	3845.407886
981	3844.653201
982	3843.931911
983	3843.576376
984	3843.350803
985	3842.840277
986	3842.570824
987	3841.84753
988	3841.514622
989	3841.372131
990	3841.120856
991	3840.675562
992	3840.472178
993	3840.11677
994	3839.508199
995	3839.378662
996	3839.114508
997	3838.538248
998	3838.177343
999	3837.689102
